user_id	original_image	face_id	age	gender	x	y	dx	dy	tilt_ang	fiducial_yaw_angle	fiducial_score
30601258@N03	10424815813_e94629b1ec_o.jpg	2	(25, 32)	m	301	105	640	641	0	0	94
30601258@N03	10437979845_5985be4b26_o.jpg	3	(25, 32)	m	752	1255	484	485	180	0	47
30601258@N03	11816644924_075c3d8d59_o.jpg	2	(25, 32)	m	175	80	769	768	-75	0	34
30601258@N03	10424595844_1009c687e4_o.jpg	4	(38, 43)	f	1912	905	1224	1224	155	0	64
30601258@N03	10190308156_5c748ab2da_o.jpg	2	(25, 32)	m	1013	1039	453	452	-75	0	59
30601258@N03	11624488765_9db0b93c94_o.jpg	2	(25, 32)	m	101	56	740	740	-90	0	75
30601258@N03	10204739113_0e2ae11708_o.jpg	6	(25, 32)	m	336	640	841	842	-85	0	94
30601258@N03	11518638385_cac7193c86_o.jpg	2	(25, 32)	m	87	20	728	728	-95	0	79
30601258@N03	11431644464_5510e0b7e9_o.jpg	2	(25, 32)	m	223	58	780	781	-85	0	40
30601258@N03	11562657036_5fe2235bed_o.jpg	5	(25, 32)	f	518	234	444	444	-15	0	78
30601258@N03	11438175534_c13ee0375c_o.jpg	1	(25, 32)	f	996	1222	733	733	-85	0	109
30601258@N03	10571000386_90e4070c7c_o.jpg	2	(25, 32)	m	596	156	684	688	-5	0	28
30601258@N03	10491630366_5cc645056d_o.jpg	4	(38, 43)	f	1683	921	573	573	170	0	68
30601258@N03	9731074481_5821415708_o.jpg	2	(25, 32)	m	218	191	736	736	-90	0	29
30601258@N03	11167478633_afa18032b6_o.jpg	2	(25, 32)	m	615	411	1083	1083	5	0	28
30601258@N03	10438008125_7d673b3b16_o.jpg	2	(25, 32)	m	0	0	886	909	-90	0	100
30601258@N03	9350503632_d1c0024287_o.jpg	7	(25, 32)	f	1713	1196	472	472	5	0	33
30601258@N03	11518770375_202acaf0c0_o.jpg	2	(25, 32)	m	1179	615	790	790	5	0	73
30601258@N03	9545512875_ba6fcccea3_o.jpg	5	(25, 32)	f	447	486	657	656	-95	0	87
30601258@N03	10518091043_fc3166a2d7_o.jpg	2	(25, 32)	m	886	1365	580	580	-85	0	67
30601258@N03	10453790724_62de3504be_o.jpg	2	(25, 32)	m	558	179	656	656	200	0	87
30601258@N03	11727849366_1283a01132_o.jpg	3	(25, 32)	m	2091	1112	841	841	175	0	49
30601258@N03	11727849366_1283a01132_o.jpg	2	(25, 32)	m	465	1273	618	618	180	0	94
30601258@N03	9254706027_30fb69d508_o.jpg	3	(25, 32)	m	696	559	867	867	-100	0	148
30601258@N03	10204495076_6635702017_o.jpg	2	(25, 32)	m	159	38	928	922	-90	0	82
30601258@N03	10997183284_95e21d361c_o.jpg	2	(25, 32)	m	117	70	940	890	-105	0	100
30601258@N03	9509748416_476cc2c5a8_o.jpg	7	(25, 32)	f	438	144	496	497	180	0	52
30601258@N03	9914124745_f218c5b9f2_o.jpg	5	(25, 32)	f	1018	1045	886	886	-95	0	137
30601258@N03	9914124745_f218c5b9f2_o.jpg	2	(25, 32)	m	809	632	823	823	-100	0	76
30601258@N03	11097082974_48166bc382_o.jpg	2	(25, 32)	m	5	14	804	805	-95	0	76
30601258@N03	9432313004_680bb1d1a6_o.jpg	4	(38, 43)	f	181	734	1237	1237	-5	0	97
30601258@N03	9432313004_680bb1d1a6_o.jpg	7	(25, 32)	f	1165	725	784	784	0	0	49
30601258@N03	9985321195_e46e991539_o.jpg	5	(25, 32)	f	653	190	588	588	0	0	89
30601258@N03	9985321195_e46e991539_o.jpg	7	(25, 32)	f	369	253	500	500	0	0	62
30601258@N03	10266570995_3fb4d97697_o.jpg	1	(25, 32)	f	321	310	1326	1326	-105	0	90
30601258@N03	9563675153_5e0473fb1a_o.jpg	7	(25, 32)	f	935	902	638	637	185	0	36
30601258@N03	8747478879_afab76198a_o.jpg	8	(25, 32)	m	243	140	576	577	0	0	97
30601258@N03	11340757554_66cc393151_o.jpg	2	(25, 32)	m	129	62	864	864	-95	0	71
30601258@N03	11518749884_eb4fca177c_o.jpg	5	(25, 32)	f	734	299	546	616	-15	0	86
30601258@N03	9347747777_863b82f4ea_o.jpg	8	(25, 32)	m	1902	670	1362	1397	-5	0	101
30601258@N03	9347747777_863b82f4ea_o.jpg	2	(25, 32)	m	833	712	1116	1116	5	0	84
30601258@N03	10204589664_c7222c7d67_o.jpg	2	(25, 32)	m	729	301	1244	1243	-95	0	68
30601258@N03	9159870407_d39a7d85db_o.jpg	2	(25, 32)	m	134	71	812	812	-85	0	33
30601258@N03	10453815245_e33b2aab12_o.jpg	2	(25, 32)	m	32	128	768	768	200	0	93
30601258@N03	10453815245_e33b2aab12_o.jpg	7	(25, 32)	f	0	238	393	480	200	0	76
30601258@N03	11551510215_3203d081c4_o.jpg	2	(25, 32)	m	1563	541	1065	1065	-15	0	102
30601258@N03	11551510215_3203d081c4_o.jpg	10	(25, 32)	m	506	854	1008	1007	20	0	148
30601258@N03	10424707975_12e1d43262_o.jpg	4	(38, 43)	f	470	224	436	436	-85	0	70
30601258@N03	10588577114_53d8cb5477_o.jpg	2	(25, 32)	m	177	136	708	708	-95	0	50
30601258@N03	11624618793_d3da5f88f3_o.jpg	5	(25, 32)	f	143	0	801	646	-85	0	77
30601258@N03	11624618793_d3da5f88f3_o.jpg	2	(25, 32)	m	15	224	769	736	-80	0	21
30601258@N03	11096974205_611e53636e_o.jpg	2	(25, 32)	m	7	73	812	812	-95	0	101
30601258@N03	10522285296_ef07a93da2_o.jpg	2	(25, 32)	m	278	52	660	660	0	0	111
30601258@N03	11341821874_593070c9fd_o.jpg	2	(25, 32)	m	39	16	776	776	-100	0	55
30601258@N03	10204418104_848f2c26f5_o.jpg	2	(25, 32)	m	607	1153	484	485	-90	0	91
30601258@N03	11707674806_3160d8d433_o.jpg	2	(25, 32)	m	112	0	768	720	-105	0	28
30601258@N03	11340738754_00de202eee_o.jpg	2	(25, 32)	m	129	62	864	864	-95	0	71
30601258@N03	11227387126_eccd313828_o.jpg	2	(25, 32)	m	109	109	733	733	-95	0	73
30601258@N03	11551480385_3990a8b517_o.jpg	5	(25, 32)	f	176	205	812	755	-90	0	75
30601258@N03	11551480385_3990a8b517_o.jpg	2	(25, 32)	m	204	0	773	676	-90	0	56
30601258@N03	10491792593_559cbab623_o.jpg	4	(38, 43)	f	420	321	507	509	-90	0	97
30601258@N03	11097388595_277592df2f_o.jpg	2	(25, 32)	m	0	12	858	864	-90	0	43
30601258@N03	10852267285_6a8bf80e7a_o.jpg	3	(25, 32)	m	182	240	792	720	-90	0	84
30601258@N03	10852267285_6a8bf80e7a_o.jpg	2	(25, 32)	m	206	0	636	569	-90	0	89
30601258@N03	11409398323_d5cd88a959_o.jpg	2	(25, 32)	m	178	1200	771	771	-90	0	113
30601258@N03	10343011254_8f847beb9f_o.jpg	5	(25, 32)	f	257	249	736	711	-95	0	32
30601258@N03	9921471513_1d92175234_o.jpg	1	(25, 32)	f	854	992	491	491	-95	0	138
30601258@N03	11312228296_2048ec3603_o.jpg	2	(25, 32)	m	87	87	684	684	-90	0	55
30601258@N03	11485348446_8baca5e588_o.jpg	2	(25, 32)	m	133	308	656	652	-75	0	44
30601258@N03	11485348446_8baca5e588_o.jpg	5	(25, 32)	f	178	21	641	640	-90	0	101
30601258@N03	8748602310_6a49559e57_o.jpg	2	(25, 32)	m	549	101	616	616	-10	0	43
30601258@N03	8748602310_6a49559e57_o.jpg	8	(25, 32)	m	220	191	540	541	0	0	67
30601258@N03	11727338963_25827f6dd1_o.jpg	3	(25, 32)	m	1845	709	1058	1058	200	0	100
30601258@N03	11727338963_25827f6dd1_o.jpg	2	(25, 32)	m	489	938	822	823	185	0	117
30601258@N03	11431643434_694787070f_o.jpg	2	(25, 32)	m	254	175	724	724	-90	0	35
30601258@N03	11097521786_f2dcd7c4ed_o.jpg	2	(25, 32)	m	76	12	776	776	-85	0	45
30601258@N03	11232858245_2eb1fca5c9_o.jpg	2	(25, 32)	m	965	508	440	440	10	0	72
30601258@N03	11097060086_97c5a74b7d_o.jpg	2	(25, 32)	m	129	176	660	661	-95	0	112
30601258@N03	10491698983_0be018cba3_o.jpg	2	(25, 32)	m	289	90	800	801	-5	0	43
30601258@N03	10570987096_7459372b32_o.jpg	2	(25, 32)	m	596	156	684	688	-5	0	28
30601258@N03	10765523195_d07320dc72_o.jpg	2	(25, 32)	m	1	0	780	731	10	0	30
30601258@N03	11227393176_65b115a55a_o.jpg	2	(25, 32)	m	123	156	660	660	-105	0	70
30601258@N03	10765613784_339fd884bc_o.jpg	2	(25, 32)	m	1	0	724	704	5	0	41
30601258@N03	11861584505_dd512cc570_o.jpg	2	(25, 32)	m	0	160	634	660	10	0	51
30601258@N03	11623896043_31951552e1_o.jpg	2	(25, 32)	m	0	151	837	809	-100	0	22
30601258@N03	11623896043_31951552e1_o.jpg	5	(25, 32)	f	224	0	768	576	-90	0	34
30601258@N03	11233977894_1966999567_o.jpg	5	(25, 32)	f	1059	1067	274	274	-90	0	50
30601258@N03	9904044896_cb797f78d2_o.jpg	1	(25, 32)	f	521	377	1083	1084	-85	0	94
